,data/hora,maisq25,menosq25,casa_ganha,empate,visitante_ganha,time_casa,time_visitante
0,72′,0,2.0,1.68,2.1,25.0,1.1,Roma
1,27′,3,0.0,100.0,250.0,Sport Recife,,
2,16′,1,0.0,1.52,2.4,1.28,10.0,Sporting CP
3,74′,0,2.0,1.9,1.82,250.0,1.001,Montpellier
4,75′,2,1.0,1.1,8.0,50.0,Monaco,Auxerre
5,77′,0,0.0,16.0,  2.8,1.6,Lyon,Brest
6,76′,3,0.0,250.0,250.0,Rennes,,
7,74′,0,1.0,6.5,1.08,12.0,1.46,Lens
8,76′,0,1.0,8.5,1.04,70.0,1.07,Betis
9,90′,0,4.0,250.0,250.0,  Mainz,,
10,89′,3,0.0,250.0,250.0,Celtic,,
11,85′,1,2.0,250.0,10.0,1.03,Aberdeen,St Mirren
12,90′,1,0.0,50.0,  1.002,16.0,Kilmarnock,Dundee Utd
13,88′,0,3.0,250.0,250.0,  Hearts,,
14,88′,0,2.0,7.0,1.07,250.0,  Motherwell,St Johnstone
15,90′,1,0.0,50.0,  1.001,25.0,Union St Gilloise,Antwerp
16,88′,1,2.0,250.0,9.0,1.05,Oxford Utd,Barnsley
17,75′,4,1.0,250.0,250.0,Real Madrid FC (W),,
18,76′,0,0.0,50.0,  5.0,1.28,Andria Bat,US Virtus Francavilla Calcio
19,75′,0,0.0,50.0,  4.75,1.28,US Latina Calcio,Viterbese
20,Ao vivo,1.72,2.0,12.0,1.8,2.1,Juve Stabia,Crotone
21,71′,2,0.0,2.1,1.68,1.001,250.0,Foggia
22,89′,2,1.0,1.02,10.0,100.0,Yate Town FC,Hendon
23,88′,2,3.0,100.0,6.5,1.07,Tiverton Town,Hanwell
24,72′,1,1.0,1.78,1.95,4.5,3.25,Municipal Grecia
25,Ao vivo,2.0,1.72,5.5,3.0,1.6,Red Bull Brasil,Bandeirante SP
26,88′,5,2.0,250.0,250.0,Swansea City (W),,
27,90′,0,2.0,4.5,1.16,250.0,  Kingstonian,Margate
28,84′,1,1.0,3.35,1.28,7.0,6.5,St Mochtas
29,76′,4,1.0,250.0,250.0,Rangers (F),,
30,87′,1,0.0,16.0,  1.05,7.0,Rockmount,Ringmahon Rangers
31,29′,1,1.0,1.16,4.75,1.75,5.5,CD Aguila
32,Ao vivo,1.6,2.2,12.0,4.75,1.22,Jocoro,Alianza FC (SLV)
33,Ao vivo,2.4,1.52,2.9,2.9,2.3,CD Luis Angel Firpo,Platense Zacatecoluca
34,1′,0,0.0,2.3,1.56,2.1,3.25,Once Municipal
35,1′,0,0.0,2.2,1.6,4.0,1.8,CD Atletico Marte
36,75′,3,0.0,250.0,250.0,Home Farm,,
37,4′,0,0.0,1.72,2.0,2.4,2.6,CD Real Sociedad
38,Começa em breve,2.05,1.65,2.6,2.9,2.4,Chalatenango,Santa Tecla
39,Ao vivo em 26 m,2.0,1.68,1.44,3.75,6.5,Botafogo,Nova Iguacu
40,Ao vivo em 26 m,2.8,1.35,2.8,2.7,2.6,Aimore,EC Sao Jose Porto Alegre
41,Ao vivo em 26 m,2.05,1.65,4.25,3.25,1.75,Caruaru City,Salgueiro PE
42,Ao vivo em 26 m,2.2,1.55,1.75,3.25,4.25,Central PE,Ibis SC
43,Ao vivo em 26 m,2.7,1.38,1.7,3.0,5.0,Oeste,CA Linense
44,Ao vivo em 26 m,2.2,1.55,2.4,2.9,2.7,Novorizontino,Ponte Preta
45,Ao vivo em 26 m,1.55,2.2,1.14,5.5,12.0,Defensa y Justicia,CA Ituzaingo
46,Ao vivo em 26 m,2.05,1.65,2.9,3.0,2.2,Pinheiro AC,Moto Clube
47,Ao vivo em 26 m,2.2,1.55,2.1,3.0,3.0,Capivariano SP,Uniao Suzano AC
48,Ao vivo em 26 m,2.6,1.4,1.75,3.0,4.0,Deportivo Mixco,Xelaju
49,Ao vivo em 26 m,1.82,1.82,2.3,3.0,2.6,Lobos UPNFM,CD Victoria
50,Ao vivo em 41 m,2.7,1.38,1.75,3.0,4.5,Alagoinhas AC,Itabuna BA
51,Ao vivo em 41 m,1.82,1.82,1.18,5.0,12.0,Athletico-PR,Azuriz FC
52,Ao vivo em 56 m,2.05,1.65,1.28,4.25,10.0,Vila Nova,Gremio Anapolis Go
53,20:00,2.0,1.68,10.0,4.75,1.24,Esportivo,Grêmio
54,20:00,2.05,1.65,4.0,3.25,1.8,Petrolina PE,Santa Cruz-SE
55,20:00,1.29,3.1,1.35,4.5,6.0,Caucaia EC,Guarani De Juazeiro
56,20:00,2.3,1.5,2.8,2.7,2.5,Luverdense,Uniao EC Rondonopolis
57,20:00,1.68,2.0,1.1,7.0,18.0,Cuiabá,Sport Sinop
58,20:00,2.3,1.5,2.15,2.9,3.25,Taubate,Noroeste Bauru
59,20:00,2.2,1.55,1.75,3.25,4.5,Comercial FC,Lemense FC
60,20:00,2.2,1.55,1.65,3.25,4.75,AA Portuguesa,Velo Clube SP
61,20:00,1.5,2.3,1.16,6.5,10.0,ABC RN,Globo FC RN
62,20:00,3.0,1.3,2.7,2.7,2.6,Barretos SP,Sao Jose EC SP
63,20:00,2.1,1.6,1.5,3.5,5.5,Marilia,Audax SP
64,20:00,1.6,2.1,1.22,5.0,8.0,Antigua GFC,Achuapa FC
65,20:00,2.2,1.55,2.7,2.8,2.3,Tlaxcala F.C,Alebrijes De Oaxaca
66,20:00,2.3,1.5,2.15,2.8,3.25,Clube Sociedade Esportiva,Murici
67,20:15,1.09,5.5,1.02,12.0,25.0,Sampaio Corrêa,Sao Jose MA
68,20:30,2.1,1.6,1.6,3.25,5.0,Aparecidense Go,Morrinhos
69,20:30,2.5,1.44,1.65,3.0,5.0,Anapolis GO,Goiania EC
70,20:30,2.3,1.5,2.15,2.8,3.25,CE Operario Varzea-Grandense,Nova Mutum
71,20:30,2.7,1.38,5.5,3.0,1.6,CS Paraibano,Campinense
72,20:45,1.6,2.1,1.12,7.5,20.0,Fortaleza,FC Atletico Cearense
73,21:00,2.3,1.5,2.35,2.8,3.1,Academia Futebol Clube,CE Dom Bosco
74,21:00,1.72,1.95,2.0,3.25,3.0,Aucas,LDU
75,21:10,1.5,2.3,1.08,8.0,25.0,Flamengo,Boavista RJ
76,21:15,1.85,1.8,2.5,3.0,2.5,Lavalleja Capital,Canelones Interior
77,21:30,3.1,1.29,2.9,2.6,2.6,Brasil de Pelotas,SER Caxias do Sul
78,21:30,2.2,1.55,8.0,4.0,1.4,Barcelona Futebol Clube,Bahia
79,21:30,2.5,1.44,1.7,3.1,5.0,Maringa,Cascavel PR
80,21:30,1.28,3.2,1.03,10.0,25.0,Huracan,CSD Yupanqui
81,21:30,2.2,1.55,2.1,3.0,3.0,Maldonado Capital,Maldonado Interior
82,21:35,2.2,1.6,5.0,3.25,1.7,Mirassol,Palmeiras
83,22:00,2.5,1.44,1.5,3.25,6.0,Comunicaciones,Coban Imperial
84,22:05,1.85,1.8,1.85,3.25,3.5,Venados FC,Raya2
85,22:30,2.05,1.65,4.5,3.25,1.7,Vida,CD Olimpia
86,23:05,1.8,1.9,2.05,3.4,3.1,Atlas,Toluca
87,Amanhã 05:00,2.05,1.65,2.7,3.0,2.4,Dewa United FC,Madura Utd
88,Amanhã 05:00,2.0,1.68,2.2,3.0,3.0,PS TIRA,Persita Tangerang
89,Amanhã 06:00,2.2,1.55,2.25,3.0,2.9,Persis Solo,Bhayangkara FC
90,Amanhã 08:00,1.82,1.82,1.34,4.25,7.0,Rajasthan United Football Club,Sudeva FC
91,Amanhã 08:45,3.25,3.25,1.95,Hapoel Bikat Hayarden,Hapoel Kfar Shelem,,
92,Amanhã 09:00,2.05,1.65,3.25,3.0,2.1,Atletico Platense (Res),CA Independiente (Res)
93,Amanhã 09:00,2.0,1.68,2.1,3.0,3.0,CA Col Santa Fe (Res),Godoy Cruz (Res)
94,Amanhã 09:00,2.05,1.65,1.55,3.5,5.0,FK Kukesi,KF Apolonia Fier
95,Amanhã 09:00,1.55,2.2,1.05,9.0,25.0,KF Tirana,KS Lushnja
96,Amanhã 09:25,2.5,1.44,1.55,3.25,5.0,Al-Quadisiya (KSA),Najran SC
97,Amanhã 09:55,2.5,1.44,3.5,2.9,2.0,Al Jabalain,Al Faisaly ( KSA )
98,Amanhã 10:00,2.0,1.7,2.1,3.2,3.1,Abha,Al-Khaleej Saihat
99,Amanhã 10:00,2.2,1.55,1.22,4.75,12.0,Sportive De Tunis,CA Bizertin
100,Amanhã 10:00,3.1,1.29,1.75,2.9,5.0,Club Sportif Sfaxien,US Tataouine
101,Amanhã 10:00,2.8,1.35,7.0,3.5,1.44,EO Sidi Bouzid,Monastir
102,Amanhã 10:00,3.5,1.24,2.2,2.7,3.5,ES Hammam Sousse,CS Chebba
103,Amanhã 10:00,3.5,1.24,2.25,2.6,3.5,AS Solimane,ES Metlaoui
104,Amanhã 10:00,3.7,1.2,2.8,2.4,2.8,Ben Guerdane,Club Africain
105,Amanhã 10:00,2.7,1.38,4.0,2.8,2.0,Stade Tunisien,Etoile Sportive Sahel
106,Amanhã 10:00,3.2,1.28,4.5,2.8,1.9,AS Rejiche,Olympique De Beja
107,Amanhã 10:00,2.3,1.5,1.5,3.5,5.5,La Viena FC,El Minya
108,Amanhã 10:00,2.5,1.44,2.5,2.9,2.7,Shaban M Qana,Fayoum FC
109,Amanhã 10:00,2.7,1.38,3.25,2.8,2.2,MS Tamia,Nasr Taaden
110,Amanhã 10:00,1.6,3.5,4.75,Kema Aswan,Al Madina Al Monawara SC,,
111,Amanhã 10:30,2.5,1.44,3.25,2.8,2.15,Gelbison Cilento SSD,Audace Cerignola
112,Amanhã 10:30,2.0,1.68,1.65,3.25,4.75,Manama Club,Sitra
113,Amanhã 11:00,2.5,1.44,2.0,3.0,3.5,Monopoli,AZ Picerno ASD
114,Amanhã 11:00,2.0,1.7,2.7,3.0,2.5,Kayserispor,Basaksehir
115,Amanhã 11:00,1.65,2.1,1.47,4.2,6.0,Konyaspor,Istanbulspor
116,Amanhã 11:00,1.7,2.0,2.1,3.4,3.2,Chennaiyin FC,Odisha
117,Amanhã 11:00,1.28,3.3,2.45,4.33,2.1,Coventry City U21,Hull City U21
118,Amanhã 12:00,1.55,2.3,7.0,4.6,1.38,Al-Batin,Al-Taawoun Buraidah
119,Amanhã 12:00,1.8,1.9,1.33,4.4,8.0,Al-Shabab (KSA),Dhamk
120,Amanhã 12:00,5.0,3.75,1.5,Al Bidda,Al Kharitiyath,,
121,Amanhã 12:00,5.0,4.5,1.44,Al Mesaimeer,Al Khor,,
122,Amanhã 13:00,2.1,1.6,1.5,3.5,5.5,Al Ahli,Al-Akhdoud
123,Amanhã 14:00,1.5,2.4,3.1,3.6,1.95,Adana Demirspor,Fenerbahce
124,Amanhã 14:00,2.1,1.6,1.55,3.5,5.5,A.E.L.,Akritas Chlorakas
125,Amanhã 14:00,2.0,1.68,2.7,3.0,2.4,Anorthosis,Omonia
126,Amanhã 14:00,2.2,1.55,2.5,3.0,2.6,Al Hala,Al Hidd
127,Amanhã 15:00,1.8,1.85,1.5,4.0,5.5,Vitoria ES,Vilavelhense FC
128,Amanhã 15:30,2.5,1.44,2.8,2.7,2.6,Madureira,Portuguesa RJ
129,Amanhã 16:30,2.0,1.68,1.34,4.4,10.0,Internacional,Ypiranga RS
130,Amanhã 16:45,1.55,2.2,2.3,3.5,2.5,Zulte-Waregem,Yellow-Red Mechelen
131,Amanhã 16:45,1.5,2.3,1.5,4.5,4.5,Maynooth University Town,Bangor Celtic
132,Amanhã 16:45,1.65,2.05,2.7,3.25,2.25,Glebe North,Lucan United
133,Amanhã 17:00,2.15,1.65,2.0,3.25,3.75,Juventus,Lazio
134,Amanhã 17:00,1.56,2.3,1.36,5.0,8.5,Real Madrid,Valencia
135,Amanhã 18:30,1.75,3.25,4.0,Juventud Pinulteca FC,Deportivo Sanarate FC,,
136,Amanhã 19:00,2.0,1.68,1.36,4.5,8.0,Vasco Da Gama,Resende
137,Amanhã 19:00,2.8,1.35,2.2,2.8,3.5,Sao Luiz,Novo Hamburgo
138,Amanhã 19:15,2.1,1.6,1.48,3.75,6.5,Coritiba,Cianorte PR
139,Amanhã 19:30,2.1,1.6,1.36,4.25,8.0,Atlético-GO,Crac
140,Amanhã 20:00,2.2,1.55,1.55,3.25,6.0,Juventude,Esporte Clube Avenida
141,Amanhã 20:00,1.68,2.0,8.0,5.0,1.28,Santa Cruz RN,America RN
142,Amanhã 20:00,2.0,1.68,2.4,3.1,2.6,CD Tepatitlan De Morelos,Club Atletico Morelia
143,Amanhã 20:00,1.65,2.05,1.07,8.0,50.0,CSA,Desportiva Alianca
144,Amanhã 20:00,1.65,2.05,1.3,5.0,6.5,Antigua GFC (Res),Achuapa FC (Res)
145,Amanhã 21:00,6.0,4.0,1.42,Central Cordoba SdE (Res),Boca Jrs (Res),,
146,Amanhã 21:10,2.1,1.6,4.5,3.25,1.75,Volta Redonda,Fluminense
147,Amanhã 21:40,2.1,1.6,2.15,3.0,3.0,Barranquilla,Real Cartagena
148,Amanhã 22:05,2.0,1.68,2.05,3.0,3.25,Correcaminos UAT,Universidad Guadalajara
149,Amanhã 22:30,1.95,1.72,2.3,3.0,2.7,CD Marathon,Real Espana
150,03 fev 00:00,1.9,1.8,2.15,3.25,3.0,Atletico San Luis,Puebla
151,03 fev 05:30,1.6,2.1,1.25,4.75,9.0,Persija Jakarta,Cilegon United FC
152,03 fev 05:45,1.7,2.0,2.0,3.25,3.0,Melbourne Victory,Wellington Phoenix
153,03 fev 06:00,2.0,1.68,2.5,3.0,2.4,Persebaya Surabaya,Pusamania Borneo FC
154,03 fev 08:00,1.82,1.82,2.4,3.25,2.5,Tiddim Road Athletic Club,Mohammedan SC
155,03 fev 08:00,2.0,3.6,2.9,Chiang Mai,Phrae United,,
156,03 fev 09:00,2.8,2.8,2.4,Velez Sarsfield (Res),Newells Old Boys (Res),,
157,03 fev 10:00,2.3,1.5,2.4,2.9,2.8,Hapoel Ramat Gan,Maccabi Ahi Nazareth
158,03 fev 10:00,2.3,1.5,2.8,2.9,2.4,Maccabi Kabilio Jaffa,Bnei Yehuda
159,03 fev 10:00,2.5,1.44,2.05,2.9,3.5,Hapoel Rishon Lezion,Ironi Ramat Hasharon
160,03 fev 10:00,2.3,1.5,2.15,2.9,3.0,Hapoel K Saba,Hapoel Akko
161,03 fev 10:30,1.72,1.95,1.83,3.5,3.75,Al Ahli (BRN),Al Najma (BRN)
162,03 fev 11:00,1.58,2.25,5.0,4.0,1.55,Quess East Bengal,Kerala Blasters FC
163,03 fev 12:00,1.75,1.95,5.5,4.25,1.5,Al-Fateh (KSA),Al Nasr FC Riyadh
164,03 fev 12:00,2.6,1.42,2.5,2.9,2.8,Chindia Targoviste,Uta Arad
165,03 fev 12:30,1.95,1.72,1.38,4.0,7.0,Paphos FC,Nea Salamis
166,03 fev 13:00,2.1,1.6,2.15,3.0,3.0,NK Istra,Varazdin
167,03 fev 13:00,2.8,2.7,2.63,Moroka Swallows,Richards Bay FC,,
168,03 fev 14:00,1.55,2.2,2.7,3.6,2.15,Wolfsberger AC,Rapid Vienna
169,03 fev 14:00,2.15,1.62,2.15,3.0,3.25,Wisla Plock,Warta Poznan
170,03 fev 14:00,1.85,1.8,2.3,3.25,2.7,Altay,Adanaspor
171,03 fev 14:30,2.1,1.65,1.65,3.5,5.0,Al-Ettifaq,Al-Adalh
172,03 fev 14:30,1.62,2.15,2.1,3.5,3.0,Paderborn,Fortuna Dusseldorf
173,03 fev 14:30,1.8,1.9,3.5,3.25,1.9,SV Sandhausen,SV Darmstadt
174,03 fev 15:00,2.6,1.42,2.2,2.9,3.25,FC U Craiova 1948,Universitatea Cluj
175,03 fev 15:00,2.2,1.55,1.7,3.25,4.5,APOEL,Apollon Limassol
176,03 fev 15:00,1.8,1.85,1.6,3.5,4.75,Freiburg II,Bayreuth
177,03 fev 15:00,1.68,2.0,1.5,3.75,5.0,Lokomotiv Leipzig,Viktoria Berlin
178,03 fev 15:00,1.55,2.2,1.55,3.75,4.75,Altglienicke,Chemie Leipzig
179,03 fev 15:00,1.4,2.6,1.14,6.0,14.0,Carl Zeiss Jena,Tennis Borussia Berlin
180,03 fev 15:30,2.2,1.55,2.6,3.0,2.5,Gobelins F.C.,Villefranche Beaujolais
181,03 fev 15:30,2.1,1.6,2.2,3.0,3.0,Bourg-en-Bresse,Versailles 78 FC
182,03 fev 15:30,2.0,1.68,2.4,3.0,2.7,Le Mans,Concarneau
183,03 fev 15:30,1.95,1.72,2.6,3.0,2.4,Avranches,Stade Briochin
184,03 fev 15:30,2.3,1.5,2.3,2.9,2.9,Dunkerque,Nancy
185,03 fev 15:30,2.0,1.68,2.4,3.0,2.6,Le Puy,Cholet SO
186,03 fev 15:30,1.95,1.72,1.6,3.6,4.75,Red Star,Sedan
187,03 fev 15:30,2.05,1.65,2.1,3.0,3.0,Martigues,Chateauroux
188,03 fev 15:30,1.95,1.72,1.5,3.75,5.0,Orleans,FC Bastia-Borgo
189,03 fev 15:30,1.68,2.0,2.6,3.25,2.3,Schaffhausen,FC Vaduz
190,03 fev 15:30,1.5,2.3,2.5,3.25,2.4,Yverdon Sport,Stade Lausanne-Ouchy
191,03 fev 16:00,2.0,1.7,2.7,3.0,2.4,Fortuna Sittard,Sparta Rotterdam
192,03 fev 16:00,1.68,2.0,1.9,3.5,3.25,ADO Den Haag,NAC Breda
193,03 fev 16:00,1.72,1.95,1.65,3.75,4.25,De Graafschap,SC Telstar
194,03 fev 16:00,1.72,1.95,1.65,3.5,4.25,Almere City,Jong PSV Eindhoven
195,03 fev 16:00,1.82,1.82,3.25,3.25,1.9,FC Dordrecht,FC Eindhoven
196,03 fev 16:00,1.68,2.0,2.3,3.25,2.6,FC Oss,Den Bosch
197,03 fev 16:00,1.44,2.5,1.28,5.0,7.5,Heracles,Jong FC Utrecht
198,03 fev 16:00,1.72,1.95,1.4,4.0,6.0,Willem II,Helmond Sport
199,03 fev 16:00,1.68,2.0,2.4,3.5,2.4,Jong AZ Alkmaar,VVV Venlo
200,03 fev 16:00,1.55,2.2,3.75,3.5,1.7,Racing Genk B,Waasland-Beveren
201,03 fev 16:00,1.85,1.8,1.5,3.75,5.5,Puskas Akademia,Vasas
202,03 fev 16:00,2.8,1.35,3.0,2.8,2.3,Níger,Madagascar
203,03 fev 16:15,1.55,2.2,1.87,3.75,3.3,Lausanne,AARAU
204,03 fev 16:30,1.6,4.2,3.75,Willow Park,Collinstown FC,,
205,03 fev 16:30,1.6,2.2,4.0,3.75,1.75,Augsburg,Leverkusen
206,03 fev 16:30,2.0,1.7,2.5,3.0,2.7,Modena,Cagliari
207,03 fev 16:30,1.83,1.83,1.95,3.25,3.5,Widzew Lodz,Jagiellonia Bialystock
208,03 fev 16:45,2.1,3.6,2.8,Kilbarrack United,UCD (LSL),,
209,03 fev 16:45,3.0,3.5,2.0,Skerries Town,Tolka Rovers,,
210,03 fev 16:45,1.5,4.33,4.5,Cobh Wanderers,Castleview,,
211,03 fev 16:45,1.68,2.05,3.5,3.5,1.85,KV Oostende,Anderlecht
212,03 fev 16:45,1.6,2.1,1.65,3.75,4.0,Red Bull Salzburg,Sturm Graz
213,03 fev 16:45,1.72,1.95,2.9,3.3,2.15,Scunthorpe,Barnet
214,03 fev 16:45,1.6,2.2,1.95,3.5,3.25,Queens Park,Ayr
215,03 fev 16:45,2.4,1.5,1.95,3.0,3.75,Caen,Bastia
216,03 fev 16:45,2.4,1.5,2.6,2.8,2.8,Nimes,Grenoble
217,03 fev 16:45,2.4,1.5,1.85,3.0,4.0,Le Havre,Paris FC
218,03 fev 16:45,2.3,1.55,3.25,3.0,2.2,Rodez,Sochaux
219,03 fev 16:45,2.15,1.62,1.8,3.25,4.5,Dijon,Niort
220,03 fev 16:45,2.1,1.65,3.5,3.25,1.95,Pau,Bordeaux
221,03 fev 16:45,2.25,1.58,2.5,2.9,2.7,Valenciennes,Laval
222,03 fev 16:45,2.25,1.58,2.2,3.0,3.0,Quevilly Rouen,Guingamp
223,03 fev 17:00,2.0,1.72,1.4,4.25,8.0,Athletic Bilbao,Cadiz
224,03 fev 17:00,1.85,1.85,1.55,4.1,5.5,Chelsea,Fulham
225,03 fev 17:00,1.9,1.8,1.7,3.5,4.5,West Brom,Coventry
226,03 fev 17:00,2.9,1.35,2.3,2.7,3.25,Malaga,Oviedo
227,03 fev 17:00,2.2,1.55,1.6,3.5,5.0,Uruguai Sub20,Equador  Sub20
228,03 fev 17:15,2.0,1.68,1.9,3.25,3.6,Farense,Club Football Estrela
229,03 fev 18:00,2.2,1.55,2.7,2.9,2.5,Tacuary,Guairena
230,03 fev 18:00,2.05,1.65,1.42,4.0,6.0,Cucuta Deportivo,Orsomarso
231,03 fev 18:30,1.95,1.72,3.3,3.25,1.95,Coquimbo Unido,Univ. Católica (Chile)
232,03 fev 19:30,1.85,1.8,1.25,4.75,9.0,Brasil Sub20,Venezuela Sub20
233,03 fev 20:00,2.0,1.68,1.46,3.75,6.0,Deportivo Pereira,Atletico Huila
234,03 fev 20:00,2.05,1.68,1.65,3.5,4.75,Tigre,Rosario Central
235,03 fev 20:00,2.2,1.55,2.8,2.9,2.3,Tapatio,Celaya
236,03 fev 20:00,2.5,1.45,2.3,2.9,3.0,Newells,Velez Sarsfield
237,76′,2,0.0,2.0,1.72,  100.0,Manchester United,Nottm Forest
