75′,1,0,SUSPENSO,6.0,1.1,SUSPENSO,1.02,10.0,100.0,Manchester United,Nottm Forest
72′,0,2,1.68,2.1,25.0,7.5,1.1,Roma,US Cremonese,,
27′,3,0,  100.0,250.0,Sport Recife,Afogados Ingazeira,,,,,
16′,1,0,1.52,2.4,1.28,4.75,10.0,Sporting CP,Braga,,
74′,0,2,1.9,1.82,250.0,70.0,1.001,Montpellier,PSG,,
75′,2,1,1.1,8.0,50.0,Não sera,Monaco,Auxerre,,,
77′,0,0,16.0,  2.8,1.6,10.0,Lyon,Brest,,,
76′,3,0,  250.0,250.0,Rennes,Strasbourg,,,,,
74′,0,1,6.5,1.08,12.0,3.25,1.46,Lens,Nice,,
76′,0,1,8.5,1.04,70.0,8.0,1.07,Betis,Barcelona,,
90′,0,4,250.0,250.0,  Mainz,Bayern de Munique,,,,,
89′,3,0,  250.0,250.0,Celtic,Livingston,,,,,
85′,1,2,250.0,10.0,1.03,Não sera,Aberdeen,St Mirren,,,
90′,1,0,50.0,  1.002,16.0,250.0,Kilmarnock,Dundee Utd,,,
88′,0,3,250.0,250.0,  Hearts,Rangers,,,,,
88′,0,2,7.0,1.07,250.0,250.0,  Motherwell,St Johnstone,,,
90′,1,0,50.0,  1.001,25.0,250.0,Union St Gilloise,Antwerp,,,
88′,1,2,250.0,9.0,1.05,Não sera,Oxford Utd,Barnsley,,,
75′,4,1,  250.0,250.0,Real Madrid FC (W),Real Sociedad (F),,,,,
76′,0,0,50.0,  5.0,1.28,7.0,Andria Bat,US Virtus Francavilla Calcio,,,
75′,0,0,50.0,  4.75,1.28,8.0,US Latina Calcio,Viterbese,,,
Ao vivo,1.72,2.0,12.0,1.8,2.1,Não sera,Juve Stabia,Crotone,,,
71′,2,0,2.1,1.68,1.001,25.0,250.0,Foggia,Taranto Sport,,
89′,2,1,1.02,10.0,100.0,Não sera,Yate Town FC,Hendon,,,
88′,2,3,100.0,6.5,1.07,Não sera,Tiverton Town,Hanwell,,,
72′,1,1,1.78,1.95,4.5,1.65,3.25,Municipal Grecia,Cs Herediano,,
Ao vivo,2.0,1.72,5.5,3.0,1.6,Não sera,Red Bull Brasil,Bandeirante SP,,,
88′,5,2,  250.0,250.0,Swansea City (W),The New Saints (W),,,,,
90′,0,2,4.5,1.16,250.0,100.0,  Kingstonian,Margate,,,
84′,1,1,3.35,1.28,7.0,1.22,6.5,St Mochtas,Malahide United,,
76′,4,1,  250.0,250.0,Rangers (F),Aberdeen (F),,,,,
87′,1,0,16.0,  1.05,7.0,100.0,Rockmount,Ringmahon Rangers,,,
29′,1,1,1.16,4.75,1.75,2.7,5.5,CD Aguila,AD Isidro Metapan,,
Ao vivo,1.6,2.2,12.0,4.75,1.22,Não sera,Jocoro,Alianza FC (SLV),,,
Ao vivo,2.4,1.52,2.9,2.9,2.3,Não sera,CD Luis Angel Firpo,Platense Zacatecoluca,,,
1′,0,0,2.3,1.56,2.1,2.8,3.25,Once Municipal,CD Dragon,,
1′,0,0,2.2,1.6,4.0,3.0,1.8,CD Atletico Marte,CD Fas,,
75′,3,0,  250.0,250.0,Home Farm,Drumcondra,,,,,
4′,0,0,1.72,2.0,2.4,3.0,2.6,CD Real Sociedad,Honduras Progreso,,
Começa em breve,2.05,1.65,2.6,2.9,2.4,Será Disponibilizado Ao Vivo,Chalatenango,Santa Tecla,,,
Ao vivo em 26 m,2.0,1.68,1.44,3.75,6.5,Será Disponibilizado Ao Vivo,Botafogo,Nova Iguacu,,,
Ao vivo em 26 m,2.8,1.35,2.8,2.7,2.6,Será Disponibilizado Ao Vivo,Aimore,EC Sao Jose Porto Alegre,,,
Ao vivo em 26 m,2.05,1.65,4.25,3.25,1.75,Será Disponibilizado Ao Vivo,Caruaru City,Salgueiro PE,,,
Ao vivo em 26 m,2.2,1.55,1.75,3.25,4.25,Será Disponibilizado Ao Vivo,Central PE,Ibis SC,,,
Ao vivo em 26 m,2.7,1.38,1.7,3.0,5.0,Será Disponibilizado Ao Vivo,Oeste,CA Linense,,,
Ao vivo em 26 m,2.2,1.55,2.4,2.9,2.7,Será Disponibilizado Ao Vivo,Novorizontino,Ponte Preta,,,
Ao vivo em 26 m,1.55,2.2,1.14,5.5,12.0,Será Disponibilizado Ao Vivo,Defensa y Justicia,CA Ituzaingo,,,
Ao vivo em 26 m,2.05,1.65,2.9,3.0,2.2,Será Disponibilizado Ao Vivo,Pinheiro AC,Moto Clube,,,
Ao vivo em 26 m,2.2,1.55,2.1,3.0,3.0,Será Disponibilizado Ao Vivo,Capivariano SP,Uniao Suzano AC,,,
Ao vivo em 26 m,2.6,1.4,1.75,3.0,4.0,Será Disponibilizado Ao Vivo,Deportivo Mixco,Xelaju,,,
Ao vivo em 26 m,1.82,1.82,2.3,3.0,2.6,Será Disponibilizado Ao Vivo,Lobos UPNFM,CD Victoria,,,
Ao vivo em 41 m,2.7,1.38,1.75,3.0,4.5,Será Disponibilizado Ao Vivo,Alagoinhas AC,Itabuna BA,,,
Ao vivo em 41 m,1.82,1.82,1.18,5.0,12.0,Será Disponibilizado Ao Vivo,Athletico-PR,Azuriz FC,,,
Ao vivo em 56 m,2.05,1.65,1.28,4.25,10.0,Será Disponibilizado Ao Vivo,Vila Nova,Gremio Anapolis Go,,,
20:00,2.0,1.68,10.0,4.75,1.24,Será Disponibilizado Ao Vivo,Esportivo,Grêmio,,,
20:00,2.05,1.65,4.0,3.25,1.8,Será Disponibilizado Ao Vivo,Petrolina PE,Santa Cruz-SE,,,
20:00,1.29,3.1,1.35,4.5,6.0,Será Disponibilizado Ao Vivo,Caucaia EC,Guarani De Juazeiro,,,
20:00,2.3,1.5,2.8,2.7,2.5,Será Disponibilizado Ao Vivo,Luverdense,Uniao EC Rondonopolis,,,
20:00,1.68,2.0,1.1,7.0,18.0,Será Disponibilizado Ao Vivo,Cuiabá,Sport Sinop,,,
20:00,2.3,1.5,2.15,2.9,3.25,Será Disponibilizado Ao Vivo,Taubate,Noroeste Bauru,,,
20:00,2.2,1.55,1.75,3.25,4.5,Será Disponibilizado Ao Vivo,Comercial FC,Lemense FC,,,
20:00,2.2,1.55,1.65,3.25,4.75,Será Disponibilizado Ao Vivo,AA Portuguesa,Velo Clube SP,,,
20:00,1.5,2.3,1.16,6.5,10.0,Será Disponibilizado Ao Vivo,ABC RN,Globo FC RN,,,
20:00,3.0,1.3,2.7,2.7,2.6,Não sera,Barretos SP,Sao Jose EC SP,,,
20:00,2.1,1.6,1.5,3.5,5.5,Será Disponibilizado Ao Vivo,Marilia,Audax SP,,,
20:00,1.6,2.1,1.22,5.0,8.0,Será Disponibilizado Ao Vivo,Antigua GFC,Achuapa FC,,,
20:00,2.2,1.55,2.7,2.8,2.3,Será Disponibilizado Ao Vivo,Tlaxcala F.C,Alebrijes De Oaxaca,,,
20:00,2.3,1.5,2.15,2.8,3.25,Será Disponibilizado Ao Vivo,Clube Sociedade Esportiva,Murici,,,
20:15,1.09,5.5,1.02,12.0,25.0,Será Disponibilizado Ao Vivo,Sampaio Corrêa,Sao Jose MA,,,
20:30,2.1,1.6,1.6,3.25,5.0,Será Disponibilizado Ao Vivo,Aparecidense Go,Morrinhos,,,
20:30,2.5,1.44,1.65,3.0,5.0,Será Disponibilizado Ao Vivo,Anapolis GO,Goiania EC,,,
20:30,2.3,1.5,2.15,2.8,3.25,Será Disponibilizado Ao Vivo,CE Operario Varzea-Grandense,Nova Mutum,,,
20:30,2.7,1.38,5.5,3.0,1.6,Será Disponibilizado Ao Vivo,CS Paraibano,Campinense,,,
20:45,1.6,2.1,1.12,7.5,20.0,Será Disponibilizado Ao Vivo,Fortaleza,FC Atletico Cearense,,,
21:00,2.3,1.5,2.35,2.8,3.1,Será Disponibilizado Ao Vivo,Academia Futebol Clube,CE Dom Bosco,,,
21:00,1.72,1.95,2.0,3.25,3.0,Será Disponibilizado Ao Vivo,Aucas,LDU,,,
21:10,1.5,2.3,1.08,8.0,25.0,Será Disponibilizado Ao Vivo,Flamengo,Boavista RJ,,,
21:15,1.85,1.8,2.5,3.0,2.5,Não sera,Lavalleja Capital,Canelones Interior,,,
21:30,3.1,1.29,2.9,2.6,2.6,Será Disponibilizado Ao Vivo,Brasil de Pelotas,SER Caxias do Sul,,,
21:30,2.2,1.55,8.0,4.0,1.4,Será Disponibilizado Ao Vivo,Barcelona Futebol Clube,Bahia,,,
21:30,2.5,1.44,1.7,3.1,5.0,Será Disponibilizado Ao Vivo,Maringa,Cascavel PR,,,
21:30,1.28,3.2,1.03,10.0,25.0,Será Disponibilizado Ao Vivo,Huracan,CSD Yupanqui,,,
21:30,2.2,1.55,2.1,3.0,3.0,Não sera,Maldonado Capital,Maldonado Interior,,,
21:35,2.2,1.6,5.0,3.25,1.7,Será Disponibilizado Ao Vivo,Mirassol,Palmeiras,,,
22:00,2.5,1.44,1.5,3.25,6.0,Será Disponibilizado Ao Vivo,Comunicaciones,Coban Imperial,,,
22:05,1.85,1.8,1.85,3.25,3.5,Será Disponibilizado Ao Vivo,Venados FC,Raya2,,,
22:30,2.05,1.65,4.5,3.25,1.7,Será Disponibilizado Ao Vivo,Vida,CD Olimpia,,,
23:05,1.8,1.9,2.05,3.4,3.1,Será Disponibilizado Ao Vivo,Atlas,Toluca,,,
Amanhã 05:00,2.05,1.65,2.7,3.0,2.4,Será Disponibilizado Ao Vivo,Dewa United FC,Madura Utd,,,
Amanhã 05:00,2.0,1.68,2.2,3.0,3.0,Será Disponibilizado Ao Vivo,PS TIRA,Persita Tangerang,,,
Amanhã 06:00,2.2,1.55,2.25,3.0,2.9,Será Disponibilizado Ao Vivo,Persis Solo,Bhayangkara FC,,,
Amanhã 08:00,1.82,1.82,1.34,4.25,7.0,Será Disponibilizado Ao Vivo,Rajasthan United Football Club,Sudeva FC,,,
Amanhã 08:45,3.25,3.25,1.95,Hapoel Bikat Hayarden,Hapoel Kfar Shelem,,,,,,
Amanhã 09:00,2.05,1.65,3.25,3.0,2.1,Será Disponibilizado Ao Vivo,Atletico Platense (Res),CA Independiente (Res),,,
Amanhã 09:00,2.0,1.68,2.1,3.0,3.0,Será Disponibilizado Ao Vivo,CA Col Santa Fe (Res),Godoy Cruz (Res),,,
Amanhã 09:00,2.05,1.65,1.55,3.5,5.0,Será Disponibilizado Ao Vivo,FK Kukesi,KF Apolonia Fier,,,
Amanhã 09:00,1.55,2.2,1.05,9.0,25.0,Será Disponibilizado Ao Vivo,KF Tirana,KS Lushnja,,,
Amanhã 09:25,2.5,1.44,1.55,3.25,5.0,Será Disponibilizado Ao Vivo,Al-Quadisiya (KSA),Najran SC,,,
Amanhã 09:55,2.5,1.44,3.5,2.9,2.0,Será Disponibilizado Ao Vivo,Al Jabalain,Al Faisaly ( KSA ),,,
Amanhã 10:00,2.0,1.7,2.1,3.2,3.1,Será Disponibilizado Ao Vivo,Abha,Al-Khaleej Saihat,,,
Amanhã 10:00,2.2,1.55,1.22,4.75,12.0,Não sera,Sportive De Tunis,CA Bizertin,,,
Amanhã 10:00,3.1,1.29,1.75,2.9,5.0,Será Disponibilizado Ao Vivo,Club Sportif Sfaxien,US Tataouine,,,
Amanhã 10:00,2.8,1.35,7.0,3.5,1.44,Não sera,EO Sidi Bouzid,Monastir,,,
Amanhã 10:00,3.5,1.24,2.2,2.7,3.5,Será Disponibilizado Ao Vivo,ES Hammam Sousse,CS Chebba,,,
Amanhã 10:00,3.5,1.24,2.25,2.6,3.5,Será Disponibilizado Ao Vivo,AS Solimane,ES Metlaoui,,,
Amanhã 10:00,3.7,1.2,2.8,2.4,2.8,Será Disponibilizado Ao Vivo,Ben Guerdane,Club Africain,,,
Amanhã 10:00,2.7,1.38,4.0,2.8,2.0,Será Disponibilizado Ao Vivo,Stade Tunisien,Etoile Sportive Sahel,,,
Amanhã 10:00,3.2,1.28,4.5,2.8,1.9,Não sera,AS Rejiche,Olympique De Beja,,,
Amanhã 10:00,2.3,1.5,1.5,3.5,5.5,Será Disponibilizado Ao Vivo,La Viena FC,El Minya,,,
Amanhã 10:00,2.5,1.44,2.5,2.9,2.7,Não sera,Shaban M Qana,Fayoum FC,,,
Amanhã 10:00,2.7,1.38,3.25,2.8,2.2,Será Disponibilizado Ao Vivo,MS Tamia,Nasr Taaden,,,
Amanhã 10:00,1.6,3.5,4.75,Kema Aswan,Al Madina Al Monawara SC,,,,,,
Amanhã 10:30,2.5,1.44,3.25,2.8,2.15,Será Disponibilizado Ao Vivo,Gelbison Cilento SSD,Audace Cerignola,,,
Amanhã 10:30,2.0,1.68,1.65,3.25,4.75,Será Disponibilizado Ao Vivo,Manama Club,Sitra,,,
Amanhã 11:00,2.5,1.44,2.0,3.0,3.5,Será Disponibilizado Ao Vivo,Monopoli,AZ Picerno ASD,,,
Amanhã 11:00,2.0,1.7,2.7,3.0,2.5,Será Disponibilizado Ao Vivo,Kayserispor,Basaksehir,,,
Amanhã 11:00,1.65,2.1,1.47,4.2,6.0,Será Disponibilizado Ao Vivo,Konyaspor,Istanbulspor,,,
Amanhã 11:00,1.7,2.0,2.1,3.4,3.2,Será Disponibilizado Ao Vivo,Chennaiyin FC,Odisha,,,
Amanhã 11:00,1.28,3.3,2.45,4.33,2.1,Será Disponibilizado Ao Vivo,Coventry City U21,Hull City U21,,,
Amanhã 12:00,1.55,2.3,7.0,4.6,1.38,Será Disponibilizado Ao Vivo,Al-Batin,Al-Taawoun Buraidah,,,
Amanhã 12:00,1.8,1.9,1.33,4.4,8.0,Será Disponibilizado Ao Vivo,Al-Shabab (KSA),Dhamk,,,
Amanhã 12:00,5.0,3.75,1.5,Al Bidda,Al Kharitiyath,,,,,,
Amanhã 12:00,5.0,4.5,1.44,Al Mesaimeer,Al Khor,,,,,,
Amanhã 13:00,2.1,1.6,1.5,3.5,5.5,Será Disponibilizado Ao Vivo,Al Ahli,Al-Akhdoud,,,
Amanhã 14:00,1.5,2.4,3.1,3.6,1.95,Será Disponibilizado Ao Vivo,Adana Demirspor,Fenerbahce,,,
Amanhã 14:00,2.1,1.6,1.55,3.5,5.5,Será Disponibilizado Ao Vivo,A.E.L.,Akritas Chlorakas,,,
Amanhã 14:00,2.0,1.68,2.7,3.0,2.4,Será Disponibilizado Ao Vivo,Anorthosis,Omonia,,,
Amanhã 14:00,2.2,1.55,2.5,3.0,2.6,Será Disponibilizado Ao Vivo,Al Hala,Al Hidd,,,
Amanhã 15:00,1.8,1.85,1.5,4.0,5.5,Será Disponibilizado Ao Vivo,Vitoria ES,Vilavelhense FC,,,
Amanhã 15:30,2.5,1.44,2.8,2.7,2.6,Será Disponibilizado Ao Vivo,Madureira,Portuguesa RJ,,,
Amanhã 16:30,2.0,1.68,1.34,4.4,10.0,Será Disponibilizado Ao Vivo,Internacional,Ypiranga RS,,,
Amanhã 16:45,1.55,2.2,2.3,3.5,2.5,Será Disponibilizado Ao Vivo,Zulte-Waregem,Yellow-Red Mechelen,,,
Amanhã 16:45,1.5,2.3,1.5,4.5,4.5,Não sera,Maynooth University Town,Bangor Celtic,,,
Amanhã 16:45,1.65,2.05,2.7,3.25,2.25,Não sera,Glebe North,Lucan United,,,
Amanhã 17:00,2.15,1.65,2.0,3.25,3.75,Será Disponibilizado Ao Vivo,Juventus,Lazio,,,
Amanhã 17:00,1.56,2.3,1.36,5.0,8.5,Será Disponibilizado Ao Vivo,Real Madrid,Valencia,,,
Amanhã 18:30,1.75,3.25,4.0,Juventud Pinulteca FC,Deportivo Sanarate FC,,,,,,
Amanhã 19:00,2.0,1.68,1.36,4.5,8.0,Será Disponibilizado Ao Vivo,Vasco Da Gama,Resende,,,
Amanhã 19:00,2.8,1.35,2.2,2.8,3.5,Será Disponibilizado Ao Vivo,Sao Luiz,Novo Hamburgo,,,
Amanhã 19:15,2.1,1.6,1.48,3.75,6.5,Não sera,Coritiba,Cianorte PR,,,
Amanhã 19:30,2.1,1.6,1.36,4.25,8.0,Será Disponibilizado Ao Vivo,Atlético-GO,Crac,,,
Amanhã 20:00,2.2,1.55,1.55,3.25,6.0,Será Disponibilizado Ao Vivo,Juventude,Esporte Clube Avenida,,,
Amanhã 20:00,1.68,2.0,8.0,5.0,1.28,Será Disponibilizado Ao Vivo,Santa Cruz RN,America RN,,,
Amanhã 20:00,2.0,1.68,2.4,3.1,2.6,Será Disponibilizado Ao Vivo,CD Tepatitlan De Morelos,Club Atletico Morelia,,,
Amanhã 20:00,1.65,2.05,1.07,8.0,50.0,Será Disponibilizado Ao Vivo,CSA,Desportiva Alianca,,,
Amanhã 20:00,1.65,2.05,1.3,5.0,6.5,Será Disponibilizado Ao Vivo,Antigua GFC (Res),Achuapa FC (Res),,,
Amanhã 21:00,6.0,4.0,1.42,Central Cordoba SdE (Res),Boca Jrs (Res),,,,,,
Amanhã 21:10,2.1,1.6,4.5,3.25,1.75,Será Disponibilizado Ao Vivo,Volta Redonda,Fluminense,,,
Amanhã 21:40,2.1,1.6,2.15,3.0,3.0,Será Disponibilizado Ao Vivo,Barranquilla,Real Cartagena,,,
Amanhã 22:05,2.0,1.68,2.05,3.0,3.25,Será Disponibilizado Ao Vivo,Correcaminos UAT,Universidad Guadalajara,,,
Amanhã 22:30,1.95,1.72,2.3,3.0,2.7,Não sera,CD Marathon,Real Espana,,,
03 fev 00:00,1.9,1.8,2.15,3.25,3.0,Será Disponibilizado Ao Vivo,Atletico San Luis,Puebla,,,
03 fev 05:30,1.6,2.1,1.25,4.75,9.0,Não sera,Persija Jakarta,Cilegon United FC,,,
03 fev 05:45,1.7,2.0,2.0,3.25,3.0,Será Disponibilizado Ao Vivo,Melbourne Victory,Wellington Phoenix,,,
03 fev 06:00,2.0,1.68,2.5,3.0,2.4,Não sera,Persebaya Surabaya,Pusamania Borneo FC,,,
03 fev 08:00,1.82,1.82,2.4,3.25,2.5,Será Disponibilizado Ao Vivo,Tiddim Road Athletic Club,Mohammedan SC,,,
03 fev 08:00,2.0,3.6,2.9,Chiang Mai,Phrae United,,,,,,
03 fev 09:00,2.8,2.8,2.4,Velez Sarsfield (Res),Newells Old Boys (Res),,,,,,
03 fev 10:00,2.3,1.5,2.4,2.9,2.8,Não sera,Hapoel Ramat Gan,Maccabi Ahi Nazareth,,,
03 fev 10:00,2.3,1.5,2.8,2.9,2.4,Não sera,Maccabi Kabilio Jaffa,Bnei Yehuda,,,
03 fev 10:00,2.5,1.44,2.05,2.9,3.5,Não sera,Hapoel Rishon Lezion,Ironi Ramat Hasharon,,,
03 fev 10:00,2.3,1.5,2.15,2.9,3.0,Não sera,Hapoel K Saba,Hapoel Akko,,,
